ChainedFMAs,VectorWidth,AvgGFLOPs,MaxGFLOPs,AvgTime,MaxTime,AvgGFLOPSPerSec,MaxGFLOPSPerSec,Processes
2,8,32,32,4.27041,4.30188,7.49353,7.54513,48
3,8,48,48,4.27684,4.28301,11.2232,11.2281,48
35,16,1120,1120,43.1173,43.1699,25.9757,25.9819,48
6,8,96,96,4.26801,4.27297,22.4929,22.5003,48
7,8,112,112,4.28169,4.28706,26.1579,26.1637,48
8,8,128,128,4.72726,4.73335,27.077,27.094,48
9,8,144,144,5.25067,5.25691,27.4251,27.4371,48
10,8,160,160,6.09894,6.10666,26.2341,26.2459,48
11,8,176,176,6.89176,6.89957,25.5377,25.5507,48
12,8,192,192,7.78616,7.79512,24.6591,24.6658,48
13,8,208,208,8.79386,8.80388,23.6529,23.6612,48
14,8,224,224,9.78556,9.79671,22.8909,22.8989,48
15,8,240,240,10.5665,10.5896,22.7133,22.7199,48
16,8,256,256,11.1623,11.1752,22.9344,22.9404,48
17,8,272,272,11.9559,11.9702,22.7504,22.7572,48
18,8,288,288,12.5195,12.5327,23.0042,23.0125,48
19,8,304,304,13.0617,13.0757,23.2741,23.2825,48
20,8,320,320,13.6975,13.7158,23.3619,23.372,48
21,8,336,336,14.2791,14.2968,23.5309,23.542,48
22,8,352,352,15.0034,15.0223,23.4614,23.472,48
23,8,368,368,15.7778,15.7968,23.3239,23.3303,48
24,8,384,384,16.3898,16.41,23.4293,23.4349,48
25,8,400,400,16.8495,16.8718,23.7396,23.7498,48
26,8,416,416,17.2532,17.2733,24.1115,24.1236,48
27,8,432,432,17.8132,17.8371,24.2516,24.2587,48
28,8,448,448,18.3393,18.3615,24.4284,24.4386,48
29,8,464,464,18.838,18.862,24.6311,24.6379,48
30,8,480,480,19.8592,19.8863,24.1702,24.1814,48
31,8,496,496,20.3839,20.409,24.333,24.3398,48
32,8,512,512,21.0488,21.0785,24.3244,24.3299,48
33,8,528,528,21.5189,21.5431,24.5366,24.5416,48
34,8,544,544,22.16,22.1891,24.5487,24.5587,48
35,8,560,560,22.773,22.8044,24.5905,24.6008,48
1,4,8,8,1.12014,1.12126,7.14196,7.14454,48
5,4,40,40,3.87866,3.88382,10.3128,10.3165,48
3,4,24,24,3.87804,3.88293,6.1887,6.1899,48
4,4,32,32,3.88055,3.88486,8.24625,8.24858,48
2,4,16,16,3.91912,3.92476,4.08255,4.08434,48
6,4,48,48,3.87781,3.88235,12.3781,12.3808,48
8,4,64,64,3.89074,3.89565,16.4493,16.4545,48
9,4,72,72,4.03993,4.04572,17.8221,17.8273,48
10,4,80,80,4.24659,4.26245,18.8387,18.8476,48
7,4,56,56,3.87893,3.88336,14.437,14.4396,48
11,4,88,88,4.65397,4.66014,18.9086,18.9184,48
12,4,96,96,5.07476,5.08031,18.9172,18.9227,48
14,4,112,112,5.97759,5.98443,18.7367,18.7413,48
13,4,104,104,5.60104,5.60765,18.568,18.5753,48
15,4,120,120,6.33064,6.33945,18.9554,18.9678,48
16,4,128,128,6.7096,6.71587,19.0771,19.0834,48
18,4,144,144,7.63609,7.64463,18.8578,18.8616,48
17,4,136,136,7.22786,7.23586,18.8161,18.8199,48
19,4,152,152,8.06869,8.07719,18.8382,18.8428,48
20,4,160,160,8.49581,8.51325,18.8328,18.8423,48
21,4,168,168,8.90998,8.92106,18.8553,18.8632,48
22,4,176,176,9.31387,9.32604,18.8966,18.9024,48
24,4,192,192,10.2619,10.2745,18.7099,18.7146,48
23,4,184,184,9.78351,9.79601,18.8072,18.8151,48
25,4,200,200,10.6961,10.7099,18.6985,18.7055,48
26,4,208,208,11.0899,11.1032,18.7559,18.7646,48
27,4,216,216,11.4125,11.4276,18.9267,18.9333,48
29,4,232,232,11.9849,11.9986,19.3577,19.3607,48
28,4,224,224,11.735,11.7504,19.0881,19.0928,48
30,4,240,240,12.3062,12.3314,19.5024,19.5122,48
31,4,248,248,12.7898,12.8054,19.3905,19.3969,48
33,4,264,264,13.4204,13.4365,19.6716,19.6777,48
32,4,256,256,13.0387,13.0516,19.6338,19.6415,48
34,4,272,272,13.8477,13.8668,19.6422,19.6485,48
35,4,280,280,14.2272,14.2453,19.6806,19.6865,48
1,16,32,32,4.26842,4.28631,7.49696,7.54887,48
3,16,96,96,4.2674,4.27347,22.4962,22.5003,48
2,16,64,64,4.29514,4.30531,14.9006,14.9139,48
4,16,128,128,5.41976,5.426,23.6173,23.6217,48
5,16,160,160,6.15469,6.32592,26.0046,27.6066,48
7,16,224,224,9.45663,9.46859,23.6871,23.6916,48
8,16,256,256,11.5198,11.6895,22.2229,22.3491,48
9,16,288,288,12.3818,12.3966,23.26,23.269,48
6,16,192,192,13.2812,13.3202,14.4565,14.4852,48
10,16,320,320,14.274,14.2922,22.4183,22.4272,48
11,16,352,352,15.434,15.4527,22.8067,22.8137,48
12,16,384,384,16.1319,16.2212,23.8038,23.8416,48
