Operation,Size,Bandwidth_MBS,AvgTime,MinTime,MaxTime,DataType
Scale,3.2e+08,138377,0.00246928,0.00231252,0.00487402,4
Add,4.8e+08,154540,0.0031235,0.00310599,0.00314989,4
Triad,4.8e+08,154412,0.00312695,0.00310857,0.00320852,4
Copy,4e+08,140983,0.00297775,0.00283722,0.00510352,4
Scale,4e+08,135414,0.00297618,0.00295389,0.00314032,4
Add,6e+08,151828,0.00397722,0.00395183,0.00400978,4
Triad,6e+08,152302,0.00396374,0.00393955,0.00400712,4
Copy,4.4e+08,140742,0.00315091,0.00312629,0.00328544,4
Scale,4.4e+08,135245,0.00327249,0.00325335,0.00329209,4
Add,6.6e+08,151128,0.00439021,0.00436717,0.00443813,4
Triad,6.6e+08,150925,0.00439494,0.00437303,0.00445886,4
Copy,4.8e+08,139663,0.00346332,0.00343683,0.00352769,4
Scale,4.8e+08,133287,0.00362857,0.00360125,0.00367893,4
Add,7.2e+08,149258,0.00484317,0.00482386,0.00488529,4
Triad,7.2e+08,149942,0.00490897,0.00480186,0.00647136,4
Copy,5.12e+08,138734,0.00371657,0.00369053,0.00382255,4
Scale,5.12e+08,133549,0.00384753,0.00383381,0.00387153,4
Add,7.68e+08,149320,0.00516566,0.00514333,0.00524267,4
Triad,7.68e+08,149691,0.00515101,0.00513059,0.00520854,4
Copy,5.6e+08,138213,0.00406842,0.00405172,0.00411383,4
Scale,5.6e+08,134534,0.00419702,0.00416253,0.00438515,4
Add,8.4e+08,149824,0.00563378,0.00560656,0.00569647,4
Triad,8.4e+08,150522,0.00560671,0.00558059,0.00562727,4
Copy,5.2e+08,137868,0.00378414,0.00377171,0.00382006,4
Scale,5.2e+08,134284,0.00390397,0.00387239,0.00395992,4
Add,7.8e+08,150119,0.00521949,0.00519589,0.00529537,4
Triad,7.8e+08,150213,0.00521163,0.00519264,0.00525786,4
Copy,6.4e+08,136179,0.00472833,0.0046997,0.00501742,4
Scale,6.4e+08,133573,0.00481374,0.00479138,0.00486605,4
Add,9.6e+08,148973,0.00647998,0.0064441,0.00670399,4
Triad,9.6e+08,149108,0.00645848,0.00643827,0.00652552,4
Copy,6e+08,137449,0.00442633,0.00436527,0.0048842,4
Scale,6e+08,133202,0.00452546,0.00450445,0.00457903,4
Add,9e+08,149471,0.00604121,0.00602125,0.00608397,4
Triad,9e+08,149391,0.00605251,0.00602444,0.00632604,4
Copy,1.28e+09,133267,0.00974744,0.00960478,0.0109883,4
Scale,1.28e+09,131820,0.00982491,0.00971022,0.01072,4
